# z	Sxx	Sxy	Sxz	Syx	Syy	Syz	Szx	Szy	Szz
1.212170650669781358e+00 5.767187749832680765e+02 2.248373652845955917e+01 -1.322384102322514110e+01 2.248373652845965864e+01 5.992080666523486343e+02 7.413423490254280601e-01 -1.322384102322515886e+01 7.413423490254816839e-01 2.191062987792163312e+02
1.257912939374301153e+00 5.779284342254890134e+02 1.836880375279952915e+01 -1.186598858406785695e+01 1.836880375279960731e+01 6.095530432020162834e+02 3.204043280487912426e+00 -1.186598858406788004e+01 3.204043280487962164e+00 2.144614238075263586e+02
1.303655228078821393e+00 5.702280464992131783e+02 1.475984064709189525e+01 -1.089417720789076860e+01 1.475984064709198051e+01 6.087551532387353745e+02 4.516680132765593214e+00 -1.089417720789080057e+01 4.516680132765637623e+00 2.078285314148441216e+02
1.349397516783341855e+00 5.540525530806359029e+02 1.165323566823628276e+01 -1.061915496740374465e+01 1.165323566823634671e+01 5.962403069022167301e+02 4.452759619606745822e+00 -1.061915496740377840e+01 4.452759619606784902e+00 2.000244592291079755e+02
1.395139805487861651e+00 5.301619429407369353e+02 8.647270612914415011e+00 -1.126355202469951955e+01 8.647270612914462973e+00 5.723158376804058207e+02 3.016892410395302093e+00 -1.126355202469955863e+01 3.016892410395335844e+00 1.919863176703958914e+02
1.440882094192381890e+00 4.995743178683131873e+02 5.171736736769588560e+00 -1.291490967833851222e+01 5.171736736769627640e+00 5.381852419855463268e+02 4.664822691146701672e-01 -1.291490967833854597e+01 4.664822691146977007e-01 1.845871341199861888e+02
1.486624382896901686e+00 4.634841406977695328e+02 6.801165560818986933e-01 -1.548907483509128369e+01 6.801165560819235623e-01 4.957385587058134888e+02 -2.727828559343830950e+00 -1.548907483509132099e+01 -2.727828559343806081e+00 1.785189583857463731e+02
1.532366671601421926e+00 4.231284174456195615e+02 -5.144136147190878638e+00 -1.872182034251074967e+01 -5.144136147190862651e+00 4.472220080194283582e+02 -5.971119618264335571e+00 -1.872182034251078520e+01 -5.971119618264314255e+00 1.742459691070227734e+02
1.578108960305941721e+00 3.797282894257407406e+02 -1.227104893761386073e+01 -2.219320323752703317e+01 -1.227104893761384474e+01 3.949226466018038764e+02 -8.675424321861353150e+00 -2.219320323752707225e+01 -8.675424321861337162e+00 1.720110674419774170e+02
1.623851249010461961e+00 3.344054169967412236e+02 -2.030789436492108990e+01 -2.537899468833946059e+01 -2.030789436492107569e+01 3.408302001160953409e+02 -1.038583502095950095e+01 -2.537899468833949257e+01 -1.038583502095949207e+01 1.718541123271638753e+02
1.669593537714981757e+00 2.882136620914289438e+02 -2.856774563087886065e+01 -2.773913782073260137e+01 -2.856774563087885710e+01 2.864929382115986982e+02 -1.087133343292571297e+01 -2.773913782073263334e+01 -1.087133343292571119e+01 1.736149497822710259e+02
1.715335826419501997e+00 2.420817508474542592e+02 -3.620543307283582379e+01 -2.880843624736437647e+01 -3.620543307283582379e+01 2.330888607552373060e+02 -1.013866571475824507e+01 -2.880843624736440489e+01 -1.013866571475825396e+01 1.769307583003619015e+02
1.761078115124021792e+00 1.968623418088562858e+02 -4.237772951305092306e+01 -2.828569071323246931e+01 -4.237772951305090174e+01 1.815370777225177221e+02 -8.377008908912070950e+00 -2.828569071323250128e+01 -8.377008908912090490e+00 1.812514895085626563e+02
1.806820403828542032e+00 1.531952851355424059e+02 -4.644394962492754075e+01 -2.609509808792159546e+01 -4.644394962492752654e+01 1.326903993578536074e+02 -5.868102614451343513e+00 -2.609509808792162744e+01 -5.868102614451371046e+00 1.858930000453696323e+02
1.852562692533061828e+00 1.116844882048599743e+02 -4.797529602777092350e+01 -2.241719953614570926e+01 -4.797529602777093771e+01 8.739866675760271164e+01 -2.890142325683146218e+00 -2.241719953614573768e+01 -2.890142325683178637e+00 1.901433227913512667e+02
1.898304981237582068e+00 7.269287301296566284e+01 -4.696777264899743187e+01 -1.767631845598667084e+01 -4.696777264899743898e+01 4.647739959755056560e+01 3.330862419911460037e-01 -1.767631845598669926e+01 3.330862419911129191e-01 1.933939561619711753e+02
1.944047269942102529e+00 3.663427121704631872e+01 -4.372256129820264903e+01 -1.248910060476129757e+01 -4.372256129820265613e+01 1.059314796455601737e+01 3.640636057415923332e+00 -1.248910060476132600e+01 3.640636057415896243e+00 1.952570402791508570e+02
1.989789558646622325e+00 3.943948697390756486e+00 -3.882212920490627539e+01 -7.564617261348518085e+00 -3.882212920490627539e+01 -1.982875955053910744e+01 6.909196032878608840e+00 -7.564617261348534960e+00 6.909196032878591964e+00 1.956334526087943004e+02
2.035531847351142343e+00 -2.480689876293313034e+01 -3.302619521533867442e+01 -3.571764636577089647e+00 -3.302619521533869573e+01 -4.462799183192009878e+01 1.001223312333220861e+01 -3.571764636577096752e+00 1.001223312333220683e+01 1.946975572354730275e+02
2.081274136055662360e+00 -4.895534110113577242e+01 -2.710491835236623359e+01 -1.007682157562211245e+00 -2.710491835236623359e+01 -6.388643866727427678e+01 1.280263941352173518e+01 -1.007682157562197034e+00 1.280263941352175472e+01 1.928183041257306058e+02
2.127016424760182822e+00 -6.785403429588869528e+01 -2.170883464891787540e+01 -9.373658197792789082e-02 -2.170883464891786829e+01 -7.785392585821350053e+01 1.512067446682949878e+01 -9.373658197790124547e-02 1.512067446682954142e+01 1.904337483767977801e+02
2.172758713464702396e+00 -8.101003147353411293e+01 -1.725631114576377101e+01 -7.366327627533229006e-01 -1.725631114576374259e+01 -8.690079635317047746e+01 1.683610162820809109e+01 -7.366327627532796019e-01 1.683610162820815503e+01 1.879336413113652497e+02
2.218501002169222858e+00 -8.824670427393540706e+01 -1.388775638261284762e+01 -2.559649829208382243e+00 -1.388775638261280498e+01 -9.142473480217955739e+01 1.789472273986729078e+01 -2.559649829208330285e+00 1.789472273986737960e+01 1.855753496881388003e+02
2.264243290873742431e+00 -8.981963300113991977e+01 -1.150921470582126283e+01 -5.000448464609658750e+00 -1.150921470582121842e+01 -9.192902853581833256e+01 1.835651360496266449e+01 -5.000448464609599242e+00 1.835651360496277107e+01 1.834569984971481631e+02
2.309985579578262893e+00 -8.640039488579992621e+01 -9.887075689616896312e+00 -7.443369396686692063e+00 -9.887075689616835916e+00 -8.895078931044200488e+01 1.839325587084230662e+01 -7.443369396686633443e+00 1.839325587084243097e+01 1.815373916706993782e+02
2.355727868282782467e+00 -7.894900264582338423e+01 -8.734793758974873867e+00 -9.333206493116222191e+00 -8.734793758974802813e+00 -8.293399928531331966e+01 1.824843103900669306e+01 -9.333206493116172453e+00 1.824843103900683872e+01 1.796914720134826098e+02
2.401470156987302929e+00 -6.861608722855969233e+01 -7.843555915243771715e+00 -1.026475600361824370e+01 -7.843555915243705101e+00 -7.444794312610291342e+01 1.816369964577718221e+01 -1.026475600361820995e+01 1.816369964577733853e+01 1.777663021573721096e+02
2.447212445691822502e+00 -5.654730884856325446e+01 -7.137137802348988203e+00 -1.003100276660084589e+01 -7.137137802348938465e+00 -6.392024406344467735e+01 1.830887408185640908e+01 -1.003100276660083701e+01 1.830887408185657961e+01 1.756416225968336846e+02
2.492954734396342964e+00 -4.373905538411972316e+01 -6.672604272239933465e+00 -8.625599123922562228e+00 -6.672604272239901491e+00 -5.184841351998800008e+01 1.873314099098617547e+01 -8.625599123922578215e+00 1.873314099098634244e+01 1.732645656966159891e+02
2.538697023100862982e+00 -3.088312233386053407e+01 -6.571948180210505086e+00 -6.210498247704750341e+00 -6.571948180210506862e+00 -3.875361009085489172e+01 1.936242609516209612e+01 -6.210498247704791197e+00 1.936242609516226310e+01 1.706717029171862805e+02
2.584439311805382999e+00 -1.830821599768376728e+01 -6.966970779016287807e+00 -3.070436506030836732e+00 -6.966970779016323334e+00 -2.520435600726603553e+01 2.003437057136535060e+01 -3.070436506030898904e+00 2.003437057136551402e+01 1.679875998423495957e+02
2.630181600509903017e+00 -5.892173030014955515e+00 -7.906271049346372592e+00 4.495812729456098999e-01 -7.906271049346441870e+00 -1.174298079115214222e+01 2.055956218037150052e+01 4.495812729455291312e-01 2.055956218037164263e+01 1.653953698693850924e+02
2.675923889214423035e+00 6.798461709266599762e+00 -9.320728195214265099e+00 4.010261270835943748e+00 -9.320728195214361023e+00 1.233378217201746452e+00 2.077939174508565756e+01 4.010261270835852265e+00 2.077939174508578191e+01 1.630862994376091137e+02
2.721666177918943497e+00 2.038440374285901413e+01 -1.101772924681591270e+01 7.338294139729866217e+00 -1.101772924681602817e+01 1.352988638013916045e+01 2.059813612515976899e+01 7.338294139729771182e+00 2.059813612515986136e+01 1.611945141803651325e+02
2.767408466623463070e+00 3.543581374001179540e+01 -1.275908337948603055e+01 1.026714512207763974e+01 -1.275908337948615845e+01 2.523564069592067227e+01 1.997944159776021422e+01 1.026714512207754382e+01 1.997944159776028528e+01 1.597446075119682121e+02
2.813150755327983532e+00 5.217755100068661989e+01 -1.425983650976873562e+01 1.274796668701576863e+01 -1.425983650976886175e+01 3.660261996160708975e+01 1.892206816277818859e+01 1.274796668701568159e+01 1.892206816277822412e+01 1.586293799885575879e+02
2.858893044032503106e+00 7.036813563423956452e+01 -1.532284931104623560e+01 1.482509355004250473e+01 -1.532284931104634396e+01 4.797013780290827611e+01 1.742246316779787563e+01 1.482509355004243012e+01 1.742246316779788273e+01 1.576349936675412664e+02
2.904635332737023568e+00 8.920251121381723181e+01 -1.575741038161245200e+01 1.658850658437651049e+01 -1.575741038161253549e+01 5.955641058904195972e+01 1.544648556803857886e+01 1.658850658437645009e+01 1.544648556803856643e+01 1.565065087738722127e+02
2.950377621441543141e+00 1.075293779405756709e+02 -1.542694763544051817e+01 1.811814912197959870e+01 -1.542694763544057857e+01 7.138016575373841022e+01 1.292067015806778230e+01 1.811814912197955252e+01 1.292067015806775032e+01 1.550251366363873160e+02
2.996119910146063603e+00 1.240275282211035801e+02 -1.418522255870403015e+01 1.944088815141331850e+01 -1.418522255870404969e+01 8.324765942977739996e+01 9.750618488355303981e+00 1.944088815141329007e+01 9.750618488355261348e+00 1.530685926648218640e+02
3.041862198850583177e+00 1.374971561589196654e+02 -1.186282586836194675e+01 2.051519534974073977e+01 -1.186282586836194142e+01 9.483227774786487885e+01 5.854523023622399513e+00 2.051519534974072556e+01 5.854523023622352440e+00 1.506335753002721844e+02
3.087604487555103638e+00 1.470797472895802684e+02 -8.279334911584106393e+00 2.125251783898972491e+01 -8.279334911584074419e+00 1.057701576058679080e+02 1.207260488737973869e+00 2.125251783898973201e+01 1.207260488737928128e+00 1.478064714193037616e+02
3.133346776259623656e+00 1.523464838914084396e+02 -3.263281262708081165e+00 2.155831040430981105e+01 -3.263281262708030539e+00 1.157592711818944764e+02 -4.125781554688437325e+00 2.155831040430982881e+01 -4.125781554688479069e+00 1.447122410658970466e+02
3.179089064964143674e+00 1.533330059775262555e+02 3.231558056657010791e+00 2.138220738478767302e+01 3.231558056657080513e+00 1.246141286341371739e+02 -9.962337113682602663e+00 2.138220738478770855e+01 -9.962337113682636414e+00 1.414585003972287041e+02
3.224831353668664136e+00 1.504246353578549531e+02 1.110179606868099178e+01 2.075068040997526353e+01 1.110179606868107882e+01 1.321913707742830582e+02 -1.600812738968114601e+01 2.075068040997530261e+01 -1.600812738968117444e+01 1.381080892048975954e+02
3.270573642373183709e+00 1.442972759525329423e+02 1.999923112376400880e+01 1.976853810115808940e+01 1.999923112376411183e+01 1.383742277706591324e+02 -2.188628238260646697e+01 1.976853810115813914e+01 -2.188628238260648118e+01 1.346884488325794678e+02
3.316315931077704171e+00 1.357958413380784748e+02 2.936170107965227416e+01 1.858872125858874469e+01 2.936170107965237008e+01 1.429822881647917256e+02 -2.719189647353410422e+01 1.858872125858879798e+01 -2.719189647353410777e+01 1.312224782647990651e+02
3.362058219782223745e+00 1.258193163121894003e+02 3.847446034050456376e+01 1.736522519476142179e+01 3.847446034050466324e+01 1.458142935455356337e+02 -3.156369360396099921e+01 1.736522519476148219e+01 -3.156369360396099921e+01 1.277678342868347841e+02
3.407800508486744206e+00 1.152769074502229643e+02 4.658125594205800724e+01 1.621242369341737799e+01 4.658125594205812092e+01 1.466796691926065250e+02 -3.475724476964651188e+01 1.621242369341744194e+01 -3.475724476964649057e+01 1.244349579346693275e+02
3.458354824250279513e+00 1.050002065787243453e+02 5.308093635924306142e+01 1.518733960614969902e+01 5.308093635924316800e+01 1.455255003483297287e+02 -3.669684953277950967e+01 1.518733960614978074e+01 -3.669684953277948125e+01 1.213751047829316008e+02
3.504097112954799531e+00 9.567690298027559948e+01 5.764658855989925712e+01 1.430181431560935756e+01 5.764658855989935660e+01 1.425964534895021814e+02 -3.749416310065551272e+01 1.430181431560944816e+01 -3.749416310065547009e+01 1.187395223326333991e+02
3.549839401659319549e+00 8.783484892385254739e+01 6.033399878379228198e+01 1.355088711995967188e+01 6.033399878379237435e+01 1.384581482093378213e+02 -3.742413529627339130e+01 1.355088711995977491e+01 -3.742413529627332736e+01 1.166374585792637930e+02
3.595581690363839567e+00 8.179102766579111972e+01 6.152711749718754675e+01 1.294090550899735526e+01 6.152711749718763201e+01 1.340012172542326709e+02 -3.686656529765760837e+01 1.294090550899747250e+01 -3.686656529765753021e+01 1.151117190826512768e+02
3.641323979068359584e+00 7.772848851599798081e+01 6.182110426101395007e+01 1.249897007887182987e+01 6.182110426101403533e+01 1.302443222369049920e+02 -3.621747584509505913e+01 1.249897007887196132e+01 -3.621747584509496676e+01 1.141415665121818677e+02
3.687066267772880046e+00 7.569328327971049930e+01 6.179198866801789336e+01 1.226400160296673292e+01 6.179198866801797152e+01 1.281016004517744307e+02 -3.580220250340012456e+01 1.226400160296686792e+01 -3.580220250340003219e+01 1.136763181875839166e+02
