# z	Sxx	Sxy	Sxz	Syx	Syy	Syz	Szx	Szy	Szz
1.189250235370124198e+00 3.718002288268835969e+02 -2.621501346553713674e+01 3.327791376984149707e+01 -2.621501346553714740e+01 4.410249125180986880e+02 -2.519694930707814251e+01 3.327791376984150418e+01 -2.519694930707808922e+01 2.276702788413968790e+02
1.237791061303598728e+00 4.120244459772289929e+02 -3.105764740194062767e+01 3.647355927257068942e+01 -3.105764740194065610e+01 4.808610660067901108e+02 -2.647882350829276277e+01 3.647355927257068942e+01 -2.647882350829269882e+01 2.163122748826302200e+02
1.286331887237073257e+00 4.495993063753333558e+02 -3.595267361019236318e+01 3.811543889681373543e+01 -3.595267361019240582e+01 5.143923831559302471e+02 -2.660053196323711688e+01 3.811543889681372832e+01 -2.660053196323704583e+01 2.048130624454439328e+02
1.334872713170547787e+00 4.823531917274520424e+02 -4.050670788239391129e+01 3.815279303906959285e+01 -4.050670788239397524e+01 5.402430746316508703e+02 -2.582815085326820892e+01 3.815279303906957864e+01 -2.582815085326813787e+01 1.938644294188370907e+02
1.383413539104022316e+00 5.081446759118467753e+02 -4.425938928519037319e+01 3.658127223027436514e+01 -4.425938928519042292e+01 5.573439927430677017e+02 -2.437581754684246960e+01 3.658127223027432251e+01 -2.437581754684240565e+01 1.841309785036846733e+02
1.431954365037496624e+00 5.251433554174020628e+02 -4.675328580311050075e+01 3.342215157621218680e+01 -4.675328580311057181e+01 5.650336521402299468e+02 -2.240564953378328639e+01 3.342215157621213706e+01 -2.240564953378321889e+01 1.761988504859083378e+02
1.480495190970971153e+00 5.321822940277749012e+02 -4.764656164648555148e+01 2.871698793067245248e+01 -4.764656164648563674e+01 5.630484937348073800e+02 -2.008680904085258589e+01 2.871698793067239919e+01 -2.008680904085252195e+01 1.705280463998083178e+02
1.529036016904445683e+00 5.288475530252062526e+02 -4.678476402270398182e+01 2.253663772855949787e+01 -4.678476402270405288e+01 5.514567921694996357e+02 -1.767628611647108272e+01 2.253663772855943392e+01 -1.767628611647103298e+01 1.674126956157640507e+02
1.577576842837920212e+00 5.155272813140759354e+02 -4.423678849627933829e+01 1.501998063953338303e+01 -4.423678849627943777e+01 5.305826236877505835e+02 -1.556759867492444371e+01 1.501998063953332263e+01 -1.556759867492440641e+01 1.669727363750382096e+02
1.626117668771394742e+00 4.931454812112124273e+02 -4.027528784445708965e+01 6.421931582513843217e+00 -4.027528784445721044e+01 5.009271603232178336e+02 -1.424410378536015642e+01 6.421931582513791703e+00 -1.424410378536012800e+01 1.691607074764155527e+02
1.674658494704869272e+00 4.629746454562987310e+02 -3.532221027989629647e+01 -2.840579098706709438e+00 -3.532221027989645989e+01 4.631589583144491371e+02 -1.414198076578268193e+01 -2.840579098706746741e+00 -1.414198076578266949e+01 1.737863036705794002e+02
1.723199320638343801e+00 4.263633707242879041e+02 -2.989624612481593147e+01 -1.217913120489781598e+01 -2.989624612481608779e+01 4.182165450582274957e+02 -1.547116439268554977e+01 -1.217913120489784085e+01 -1.547116439268554267e+01 1.805182217016605932e+02
1.771740146571818109e+00 3.846340355999794838e+02 -2.452852898629837597e+01 -2.087552586303048585e+01 -2.452852898629856426e+01 3.674034060636437289e+02 -1.806605070701048277e+01 -2.087552586303050361e+01 -1.806605070701048277e+01 1.888777924623295519e+02
1.820280972505292638e+00 3.390847071730105995e+02 -1.971079699860108647e+01 -2.817809553845518877e+01 -1.971079699860129608e+01 3.124595714761277350e+02 -2.134031912325960789e+01 -2.817809553845518877e+01 -2.134031912325961144e+01 1.982133170667911202e+02
1.868821798438766724e+00 2.910180504705489852e+02 -1.582576417036468008e+01 -3.342831355214161704e+01 -1.582576417036489680e+01 2.554630880609218480e+02 -2.437817205754340222e+01 -3.342831355214161704e+01 -2.437817205754341998e+01 2.077018838923781914e+02
1.917362624372241253e+00 2.418170374565626730e+02 -1.309107857285438925e+01 -3.619509531607481989e+01 -1.309107857285460597e+01 1.986729225702543147e+02 -2.614794665553750974e+01 -3.619509531607481279e+01 -2.614794665553753106e+01 2.164027677874214532e+02
1.965903450305715783e+00 1.928563330405758620e+02 -1.152710879418659928e+01 -3.635884762546228899e+01 -1.152710879418680179e+01 1.442383826157367821e+02 -2.577482842889392245e+01 -3.635884762546228899e+01 -2.577482842889394732e+01 2.233918905536604882e+02
2.014444276239190312e+00 1.454500920101326642e+02 -1.094988558160184589e+01 -3.413507564122279092e+01 -1.094988558160201464e+01 9.398499541145552882e+01 -2.278475999876537372e+01 -3.413507564122279803e+01 -2.278475999876539859e+01 2.279224396002472872e+02
2.062985102172664842e+00 1.006856999346424857e+02 -1.103200355054177884e+01 -3.002005707041048410e+01 -1.103200355054190851e+01 4.926228385523433673e+01 -1.723697797221414163e+01 -3.002005707041050897e+01 -1.723697797221417005e+01 2.295869005462277244e+02
2.111525928106139371e+00 5.941585469395384678e+01 -1.138075345369989755e+01 -2.468362037348094873e+01 -1.138075345369997926e+01 1.089128224188969796e+01 -9.711807683739209551e+00 -2.468362037348098426e+01 -9.711807683739241526e+00 2.283866848358606489e+02
2.160066754039613901e+00 2.226073741906601100e+01 -1.163101134293686556e+01 -1.883257621502811574e+01 -1.163101134293690109e+01 -2.072881733047314157e+01 -1.159384241388149217e+00 -1.883257621502816548e+01 -1.159384241388186521e+00 2.246975454481120096e+02
2.208607579973087987e+00 -1.025539125844695576e+01 -1.156040256821201950e+01 -1.309339667908613514e+01 -1.156040256821200707e+01 -4.558291676884186927e+01 7.336926172699083537e+00 -1.309339667908618488e+01 7.336926172699040904e+00 2.191399989606819076e+02
2.257148405906562516e+00 -3.762462681105395035e+01 -1.111729389788326117e+01 -7.926625590881737793e+00 -1.111729389788321498e+01 -6.394203776724346255e+01 1.480069939442297766e+01 -7.926625590881783978e+00 1.480069939442293148e+01 2.123982563422097769e+02
2.305689231840037046e+00 -5.920981898116982478e+01 -1.044810639835263899e+01 -3.609901160399417552e+00 -1.044810639835257327e+01 -7.628847567401653862e+01 2.053729626901237282e+01 -3.609901160399455300e+00 2.053729626901232308e+01 2.050604556619853156e+02
2.354230057773511575e+00 -7.439382077792487280e+01 -9.843929398295724553e+00 -2.565180855274329375e-01 -9.843929398295653499e+00 -8.334716814221073378e+01 2.421093422492865344e+01 -2.565180855274595828e-01 2.421093422492860370e+01 1.975254111175792957e+02
2.402770883706986105e+00 -8.268359335643314978e+01 -9.643680603301366006e+00 2.127704178366865762e+00 -9.643680603301300280e+00 -8.596656537783110252e+01 2.581785475412550568e+01 2.127704178366865762e+00 2.581785475412545594e+01 1.899929752108624257e+02
2.451311709640460634e+00 -8.388854651471690715e+01 -1.011127784710614819e+01 3.592785571758182250e+00 -1.011127784710609845e+01 -8.507156713361918321e+01 2.559053159220992413e+01 3.592785571758206675e+00 2.559053159220987794e+01 1.825198257027158775e+02
2.499852535573935164e+00 -7.828628082799198751e+01 -1.137799835402514859e+01 4.220591474651023134e+00 -1.137799835402511661e+01 -8.151320905576415043e+01 2.387627612601053428e+01 4.220591474651076425e+00 2.387627612601049520e+01 1.751066664770360148e+02
2.548393361507409693e+00 -6.669636352750382002e+01 -1.338376192843161938e+01 4.106496818391529580e+00 -1.338376192843160162e+01 -7.595339374914372854e+01 2.103238683569848533e+01 4.106496818391613068e+00 2.103238683569844980e+01 1.677719994198381244e+02
2.596934187440883779e+00 -5.039644856752190094e+01 -1.587762386704480377e+01 3.368593736488588064e+00 -1.587762386704480377e+01 -6.880055981044623081e+01 1.737330531777858766e+01 3.368593736488704860e+00 1.737330531777855569e+01 1.605960998208245485e+02
2.645475013374358308e+00 -3.090920211264792528e+01 -1.851169567467826127e+01 2.149466031631796614e+00 -1.851169567467826838e+01 -6.015331349768602109e+01 1.314258398907280778e+01 2.149466031631942720e+00 1.314258398907277581e+01 1.537143947960275341e+02
2.694015839307832838e+00 -9.774617502345718023e+00 -2.092174695548054686e+01 6.086115195886340201e-01 -2.092174695548055752e+01 -4.988008580078992793e+01 8.517926591623755428e+00 6.086115195888059937e-01 8.517926591623719901e+00 1.472929502707516747e+02
2.742556665241307368e+00 1.178050063274180204e+01 -2.280980754059338977e+01 -1.099743936809481681e+00 -2.280980754059340398e+01 -3.769623069922415226e+01 3.625178814033836794e+00 -1.099743936809293166e+00 3.625178814033792829e+00 1.415036223150859200e+02
2.791097491174781897e+00 3.297393789049634449e+01 -2.402830130837929801e+01 -2.855700682657941414e+00 -2.402830130837931932e+01 -2.331433068493563354e+01 -1.452125044727394343e+00 -2.855700682657745126e+00 -1.452125044727452075e+00 1.365042623868208977e+02
2.839638317108256427e+00 5.349332800712948455e+01 -2.457527262469963603e+01 -4.585342501662132975e+00 -2.457527262469966089e+01 -6.636055771441224493e+00 -6.663532874911679116e+00 -4.585342501661937575e+00 -6.663532874911753723e+00 1.324182310516609959e+02
2.888179143041730512e+00 7.332441839575264453e+01 -2.459770071988094742e+01 -6.257831388216902546e+00 -2.459770071988098294e+01 1.214835843208367017e+01 -1.197020016476175819e+01 -6.257831388216721358e+00 -1.197020016476185056e+01 1.293176120570943226e+02
2.936719968975205042e+00 9.252410852597843416e+01 -2.433896144650000082e+01 -7.870026998904649851e+00 -2.433896144650005056e+01 3.244066542600575787e+01 -1.731501556867036840e+01 -7.870026998904489091e+00 -1.731501556867047853e+01 1.271967583674231861e+02
2.985260794908679571e+00 1.109103474070639095e+02 -2.407736935296624026e+01 -9.420138062659450640e+00 -2.407736935296630065e+01 5.330179590687660607e+01 -2.259139078227886799e+01 -9.420138062659317413e+00 -2.259139078227898167e+01 1.259291971709057520e+02
3.033801620842154101e+00 1.279810732288387385e+02 -2.405455286326036912e+01 -1.088939874154569587e+01 -2.405455286326044373e+01 7.354379323896159804e+01 -2.761495786074954850e+01 -1.088939874154559107e+01 -2.761495786074966929e+01 1.252414036727661681e+02
3.082342446775628630e+00 1.428719993318069328e+02 -2.439577636113320480e+01 -1.223643708027448440e+01 -2.439577636113330072e+01 9.193871758436787900e+01 -3.212364684196072062e+01 -1.223643708027441335e+01 -3.212364684196083431e+01 1.247098413984609238e+02
3.130883272709103160e+00 1.546610616822446218e+02 -2.505937348451222846e+01 -1.340905616780896459e+01 -2.505937348451232793e+01 1.074670736548207799e+02 -3.580296955658005942e+01 -1.340905616780891840e+01 -3.580296955658016600e+01 1.238011952896396224e+02
3.179424098642577690e+00 1.625878449266600967e+02 -2.581403559791537816e+01 -1.436711865839131974e+01 -2.581403559791548474e+01 1.195085070293697243e+02 -3.833528099409728895e+01 -1.436711865839130198e+01 -3.833528099409738132e+01 1.219564356494924340e+02
3.227964924576052219e+00 1.663856146019527102e+02 -2.626089911699731871e+01 -1.510435467245461005e+01 -2.626089911699743240e+01 1.279465624863238418e+02 -3.946297149509098290e+01 -1.510435467245460828e+01 -3.946297149509105395e+01 1.187062434505067046e+02
3.276505750509526305e+00 1.663136837505007293e+02 -2.591532684138270426e+01 -1.565591313207004021e+01 -2.591532684138280018e+01 1.331331412012874580e+02 -3.904096392153572737e+01 -1.565591313207005086e+01 -3.904096392153578421e+01 1.137839709889224196e+02
3.325046576443000834e+00 1.631120749413245505e+02 -2.430088229478676709e+01 -1.608792519054267700e+01 -2.430088229478683814e+01 1.357456817741359032e+02 -3.707123504691357851e+01 -1.608792519054270187e+01 -3.707123504691361404e+01 1.072140506164858067e+02
3.373587402376475364e+00 1.577641362403459198e+02 -2.105754793176793527e+01 -1.647889730563285582e+01 -2.105754793176797790e+01 1.366380526409443235e+02 -3.371126600213279545e+01 -1.647889730563287713e+01 -3.371126600213280966e+01 9.934218139161015415e+01
3.422128228309949893e+00 1.511873234886282376e+02 -1.602007378901632961e+01 -1.688741075968750138e+01 -1.602007378901631540e+01 1.366224753634150204e+02 -2.925984962242961984e+01 -1.688741075968752270e+01 -2.925984962242963405e+01 9.081053243769227379e+01
3.470669054243424423e+00 1.440676563358090050e+02 -9.248263359426669439e+00 -1.732872905691474941e+01 -9.248263359426605490e+00 1.364023757865197126e+02 -2.412504516580966651e+01 -1.732872905691476006e+01 -2.412504516580967007e+01 8.246900131070887596e+01
3.519209880176898508e+00 1.366911066889707627e+02 -1.010707658219180516e+00 -1.776790371165156301e+01 -1.010707658219056171e+00 1.364400139321379584e+02 -1.877622571918902494e+01 -1.776790371165155591e+01 -1.877622571918901784e+01 7.523508487578101267e+01
3.567750706110373038e+00 1.290533695448087599e+02 8.256978074280988622e+00 -1.813113955976216118e+01 8.256978074281159152e+00 1.370037046583075551e+02 -1.368476745426205099e+01 -1.813113955976213276e+01 -1.368476745426203323e+01 6.993171653535372911e+01
3.616291532043847567e+00 1.209602825812587383e+02 1.803845972043949786e+01 -1.833030628943105000e+01 1.803845972043970391e+01 1.381130160675063223e+02 -9.260749437911684367e+00 -1.833030628943099316e+01 -9.260749437911659498e+00 6.713233314312307698e+01
3.664832357977322097e+00 1.122342414864860416e+02 2.780215988028804830e+01 -1.829626155267940391e+01 2.780215988028827923e+01 1.396203432377556339e+02 -5.798214681320775554e+00 -1.829626155267931154e+01 -5.798214681320740915e+00 6.703787081068595910e+01
3.713373183910796627e+00 1.028853503491854298e+02 3.705059458594541155e+01 -1.800660825963484868e+01 3.705059458594564603e+01 1.412626435307741417e+02 -3.430676080200677713e+00 -1.800660825963472433e+01 -3.430676080200632860e+00 6.942866569389823894e+01
3.761914009844271156e+00 9.321718076325811353e+01 4.536760331962084081e+01 -1.749619758864423602e+01 4.536760331962108239e+01 1.427661227280237881e+02 -2.114952651063221278e+00 -1.749619758864407970e+01 -2.114952651063166655e+00 7.368964684861428793e+01
3.810454835777745686e+00 8.384869372427422718e+01 5.241660712276338785e+01 -1.685309406405136201e+01 5.241660712276360812e+01 1.439237853420314650e+02 -1.651300434591117972e+00 -1.685309406405118082e+01 -1.651300434591053357e+00 7.891386224919202164e+01
3.858995661711220215e+00 7.563037466652380658e+01 5.792592757110899271e+01 -1.620211110646514285e+01 5.792592757110919877e+01 1.446716775056020765e+02 -1.735514016857497621e+00 -1.620211110646494035e+01 -1.735514016857425457e+00 8.406176124982637532e+01
3.907536487644694745e+00 6.947803353510461477e+01 6.171566256363087177e+01 -1.567518682776294270e+01 6.171566256363107783e+01 1.450594496128645687e+02 -2.033196093044879138e+00 -1.567518682776272421e+01 -2.033196093044802311e+00 8.814578078773732273e+01
3.966029174066525442e+00 6.617430532367470164e+01 6.364002364292596781e+01 -1.538185717075653791e+01 6.364002364292615255e+01 1.452042139392087847e+02 -2.262236427271582251e+00 -1.538185717075631587e+01 -2.262236427271501871e+00 9.039772862398373832e+01
